Hentestednr;Eiendomsnavn;Plassering;GnrBnrFnrSnr;Gatekode;Gatenavn;Husnummer;Bokstav;Postnummer;Sted;Dunktype;Beskrivelse;StorrelseId;EtikettId;Rutenavn;Rutenummer;X;Y;Startdag;Navn;TypeId;Bil;Frekvens;Remark
"101844";"Hanøytangen 231";"";"";"";"Hanøytangen";"231";"0";"5310";"HAUGLANDSHELLA";"";"Restavfall";"140";"10294462";"12611-1";"12611";"6707659";"285013";"1";"";"HPR";"348";"4";"askøy"
"140811";"Hanøytangen 236";"";"";"";"Hanøytangen";"236";"0";"5310";"HAUGLANDSHELLA";"";"Restavfall";"140";"10237489";"12611-1";"12611";"6707658";"284992";"1";"";"HPR";"348";"4";"askøy"
"101963";"Hanøytangen 234";"";"";"";"Hanøytangen";"234";"0";"5310";"HAUGLANDSHELLA";"";"Restavfall";"140";"346287";"12611-1";"12611";"6707658";"284992";"1";"";"HPR";"348";"4";"askøy"
"101882";"Hanøytangen 250";"";"";"";"Hanøytangen";"250";"0";"5310";"HAUGLANDSHELLA";"";"Restavfall";"140";"346131";"12611-1";"12611";"6707662";"284990";"1";"";"HPR";"348";"4";"askøy"
"101946";"Hanøytangen 246";"";"";"";"Hanøytangen";"246";"0";"5310";"HAUGLANDSHELLA";"";"Restavfall";"140";"346253";"12611-1";"12611";"6707662";"284990";"1";"";"HPR";"348";"4";"askøy"
"101896";"Hanøytangen 242";"";"";"";"Hanøytangen";"242";"0";"5310";"HAUGLANDSHELLA";"";"Restavfall";"140";"346151";"12611-1";"12611";"6707656";"284990";"1";"";"HPR";"348";"4";"askøy"
"101945";"Hanøytangen 238";"";"";"";"Hanøytangen";"238";"0";"5310";"HAUGLANDSHELLA";"";"Restavfall";"140";"346251";"12611-1";"12611";"6707662";"284990";"1";"";"HPR";"348";"4";"askøy"
"101911";"Hanøytangen 230";"";"";"";"Hanøytangen";"230";"0";"5310";"HAUGLANDSHELLA";"";"Restavfall";"140";"346181";"12611-1";"12611";"6707662";"284990";"1";"";"HPR";"348";"4";"askøy"
"101947";"Hanøyvegen 449";"";"";"";"Hanøyvegen";"449";"0";"5310";"";"";"Restavfall";"140";"346255";"12611-1";"12611";"6707847";"284632";"1";"";"HPR";"348";"4";"askøy"
"101907";"Hanøyvegen 453";"";"";"";"Hanøyvegen";"453";"0";"5310";"HAUGLANDSHELLA";"";"Restavfall";"140";"10171847";"12611-1";"12611";"6707827";"284632";"1";"";"HPR";"348";"4";"askøy"
"101988";"Hanøyvegen 445";"";"";"";"Hanøyvegen";"445";"0";"5310";"HAUGLANDSHELLA";"";"Restavfall";"140";"10222178";"12611-1";"12611";"6707825";"284634";"1";"";"HPR";"348";"4";"askøy"
"101899";"Hanøyvegen 463";"";"";"";"Hanøyvegen";"463";"0";"5310";"HAUGLANDSHELLA";"";"Restavfall";"140";"10419710";"12611-1";"12611";"6707794";"284667";"1";"";"HPR";"348";"4";"askøy"
"101899";"Hanøyvegen 463";"";"";"";"Hanøyvegen";"463";"0";"5310";"HAUGLANDSHELLA";"";"Restavfall";"140";"346155";"12611-1";"12611";"6707789";"284668";"1";"";"HPR";"348";"4";"askøy"
"101973";"Hanøyvegen 465";"";"";"";"Hanøyvegen";"465";"0";"5310";"HAUGLANDSHELLA";"";"Restavfall";"140";"346305";"12611-1";"12611";"6707743";"284718";"1";"";"HPR";"348";"4";"askøy"
"101973";"Hanøyvegen 465";"";"";"";"Hanøyvegen";"465";"0";"5310";"HAUGLANDSHELLA";"";"Restavfall";"140";"10281041";"12611-1";"12611";"6707743";"284718";"1";"";"HPR";"348";"4";"askøy"
"123645";"Hanøyvegen 467";"";"";"";"Hanøyvegen";"467";"0";"5310";"HAUGLANDSHELLA";"";"Restavfall";"140";"612236";"12611-1";"12611";"6707728";"284731";"1";"";"HPR";"348";"4";"askøy"
"102013";"Hanøyvegen 452";"";"";"";"Hanøyvegen";"452";"0";"5310";"HAUGLANDSHELLA";"";"Restavfall";"140";"10289504";"12611-1";"12611";"6707606";"284811";"1";"";"HPR";"348";"4";"askøy"
"102013";"Hanøyvegen 452";"";"";"";"Hanøyvegen";"452";"0";"5310";"HAUGLANDSHELLA";"";"Restavfall";"140";"346367";"12611-1";"12611";"6707602";"284810";"1";"";"HPR";"348";"4";"askøy"
"136451";"Hanøyvegen 483";"";"";"";"Hanøyvegen";"483";"0";"5310";"HAUGLANDSHELLA";"";"Restavfall";"140";"10211226";"12611-1";"12611";"6707519";"284618";"1";"";"HPR";"348";"4";"askøy"
"101943";"Hanøyvegen 517";"";"";"";"Hanøyvegen";"517";"0";"5310";"HAUGLANDSHELLA";"";"Restavfall";"140";"346247";"12611-1";"12611";"6707519";"284618";"1";"";"HPR";"348";"4";"askøy"
"127986";"Hanøyvegen 519";"";"";"";"Hanøyvegen";"519";"0";"5310";"HAUGLANDSHELLA";"";"Restavfall";"140";"10020575";"12611-1";"12611";"6707519";"284618";"1";"";"HPR";"348";"4";"askøy"
"128206";"Hanøyvegen 521";"";"";"";"Hanøyvegen";"521";"0";"5310";"HAUGLANDSHELLA";"";"Restavfall";"140";"10021917";"12611-1";"12611";"6707519";"284618";"1";"";"HPR";"348";"4";"askøy"
"101954";"Hanøyvegen 497";"";"";"";"Hanøyvegen";"497";"0";"5310";"HAUGLANDSHELLA";"";"Restavfall";"140";"346269";"12611-1";"12611";"6707517";"284622";"1";"";"HPR";"348";"4";"askøy"
"101942";"Hanøyvegen 499";"";"";"";"Hanøyvegen";"499";"0";"5310";"HAUGLANDSHELLA";"";"Restavfall";"140";"346245";"12611-1";"12611";"6707517";"284622";"1";"";"HPR";"348";"4";"askøy"
"101953";"Hanøyvegen 507";"";"";"";"Hanøyvegen";"507";"0";"5310";"HAUGLANDSHELLA";"";"Restavfall";"140";"346267";"12611-1";"12611";"6707517";"284622";"1";"";"HPR";"348";"4";"askøy"
"142328";"Hanøyvegen 511";"";"";"";"Hanøyvegen";"509";"";"5310";"HAUGLANDSHELLA";"";"Restavfall";"140";"10246628";"12611-1";"12611";"6707517";"284622";"1";"";"HPR";"348";"4";"askøy"
"142329";"Hanøyvegen 513";"";"";"";"Hanøyvegen";"513";"0";"5310";"HAUGLANDSHELLA";"";"Restavfall";"140";"10246629";"12611-1";"12611";"6707517";"284622";"1";"";"HPR";"348";"4";"askøy"
"101850";"Holmavegen 55";"";"";"";"Holmavegen";"55";"0";"5310";"HAUGLANDSHELLA";"";"Restavfall";"140";"10259664";"12611-1";"12611";"6706826";"284537";"1";"";"HPR";"348";"4";"askøy"
"101850";"Holmavegen 55";"";"";"";"Holmavegen";"55";"0";"5310";"HAUGLANDSHELLA";"";"Restavfall";"140";"10259665";"12611-1";"12611";"6706824";"284537";"1";"";"HPR";"348";"4";"askøy"
"101962";"Holmavegen 51";"";"";"";"Holmavegen";"51";"0";"5310";"HAUGLANDSHELLA";"";"Restavfall";"140";"346285";"12611-1";"12611";"6706826";"284538";"1";"";"HPR";"348";"4";"askøy"
"101865";"Holmavegen 60";"";"";"";"";"17";"0";"5310";"HAUGLANDSHELLA";"";"Restavfall";"240";"10218930";"12611-1";"12611";"6706832";"284566";"1";"";"HPR";"348";"4";"askøy"
"101956";"Holmaveien 64";"";"";"";"Holmavegen";"64";"0";"5310";"HAUGLANDSHELLA";"";"Restavfall";"140";"346274";"12611-1";"12611";"6706828";"284566";"1";"";"HPR";"348";"4";"askøy"
"101909";"Holmavegen 19";"";"";"";"Holmavegen";"49";"0";"5310";"HAUGLANDSHELLA";"";"Restavfall";"140";"346179";"12611-1";"12611";"6706836";"284465";"1";"";"HPR";"348";"4";"askøy"
"101910";"Holmavegen 47";"";"";"";"Holmavegen";"47";"0";"5310";"HAUGLANDSHELLA";"";"Restavfall";"140";"10265593";"12611-1";"12611";"6706836";"284465";"1";"";"HPR";"348";"4";"askøy"
"101894";"Holmavegen 45";"";"";"";"Holmavegen";"45";"0";"5310";"HAUGLANDSHELLA";"";"Restavfall";"140";"10288682";"12611-1";"12611";"6706861";"284449";"1";"";"HPR";"348";"4";"askøy"
"101894";"Holmavegen 45";"";"";"";"Holmavegen";"45";"0";"5310";"HAUGLANDSHELLA";"";"Restavfall";"140";"10290459";"12611-1";"12611";"6706861";"284449";"1";"";"HPR";"348";"4";"askøy"
"101927";"Holmavegen 39";"";"";"";"Holmavegen";"39";"0";"5310";"HAUGLANDSHELLA";"";"Restavfall";"140";"346213";"12611-1";"12611";"6706933";"284456";"1";"";"HPR";"348";"4";"askøy"
"101921";"Holmavegen 41";"";"";"";"Holmavegen";"41";"0";"5310";"HAUGLANDSHELLA";"";"Restavfall";"140";"346201";"12611-1";"12611";"6706933";"284456";"1";"";"HPR";"348";"4";"askøy"
"101983";"Holmavegen 43";"";"";"";"Holmavegen";"43";"0";"";"";"";"Restavfall";"140";"346325";"12611-1";"12611";"6706933";"284456";"1";"";"HPR";"348";"4";"askøy"
"101935";"Holmavegen 38";"";"";"";"Holmavegen";"38";"0";"5310";"HAUGLANDSHELLA";"";"Restavfall";"140";"346229";"12611-1";"12611";"6706966";"284456";"1";"";"HPR";"348";"4";"askøy"
"101987";"Holmavegen 36";"";"";"";"Holmavegen";"36";"0";"5310";"HAUGLANDSHELLA";"";"Restavfall";"140";"346329";"12611-1";"12611";"6707002";"284458";"1";"";"HPR";"348";"4";"askøy"
"101886";"Holmavegen 23";"";"";"";"Holmavegen";"23";"0";"5310";"HAUGLANDSHELLA";"";"Restavfall";"140";"916211";"12611-1";"12611";"6707230";"284503";"1";"";"HPR";"348";"4";"askøy"
"101898";"Holmavegen 18";"";"";"";"Holmavegen";"18";"0";"5310";"HAUGLANDSHELLA";"";"Restavfall";"140";"10169729";"12611-1";"12611";"6707321";"284537";"1";"";"HPR";"348";"4";"askøy"
